Date,Lat,Long,confirmed,cured,dead
2020/3/29,42.5063,1.5218,334,1,6
2020/3/30,42.5063,1.5218,370,10,8
2020/3/31,42.5063,1.5218,376,10,12
2020/4/1,42.5063,1.5218,390,10,14
2020/4/2,42.5063,1.5218,428,10,15
2020/4/3,42.5063,1.5218,439,16,16
2020/4/4,42.5063,1.5218,466,21,17
2020/4/5,42.5063,1.5218,501,26,18
2020/4/6,42.5063,1.5218,525,31,21
2020/4/7,42.5063,1.5218,545,39,22
2020/4/8,42.5063,1.5218,564,52,23
2020/4/9,42.5063,1.5218,583,58,25
2020/4/10,42.5063,1.5218,601,71,26
2020/4/11,42.5063,1.5218,601,71,26
2020/4/12,42.5063,1.5218,638,128,29
2020/4/13,42.5063,1.5218,646,128,29
2020/4/14,42.5063,1.5218,659,128,31
2020/4/15,42.5063,1.5218,673,169,33
2020/4/16,42.5063,1.5218,673,169,33
2020/4/17,42.5063,1.5218,696,191,35
2020/4/18,42.5063,1.5218,704,205,35
2020/1/22,-11.2027,17.8739,0,0,0
2020/1/23,-11.2027,17.8739,0,0,0
2020/1/24,-11.2027,17.8739,0,0,0
2020/1/25,-11.2027,17.8739,0,0,0
2020/1/26,-11.2027,17.8739,0,0,0
2020/1/27,-11.2027,17.8739,0,0,0
2020/1/28,-11.2027,17.8739,0,0,0
2020/1/29,-11.2027,17.8739,0,0,0
2020/1/30,-11.2027,17.8739,0,0,0
2020/1/31,-11.2027,17.8739,0,0,0
2020/2/1,-11.2027,17.8739,0,0,0
2020/2/2,-11.2027,17.8739,0,0,0
2020/2/3,-11.2027,17.8739,0,0,0
2020/2/4,-11.2027,17.8739,0,0,0
2020/2/5,-11.2027,17.8739,0,0,0
2020/2/6,-11.2027,17.8739,0,0,0
2020/2/7,-11.2027,17.8739,0,0,0
2020/2/8,-11.2027,17.8739,0,0,0
2020/2/9,-11.2027,17.8739,0,0,0
2020/2/10,-11.2027,17.8739,0,0,0
2020/2/11,-11.2027,17.8739,0,0,0
2020/2/12,-11.2027,17.8739,0,0,0
2020/2/13,-11.2027,17.8739,0,0,0
2020/2/14,-11.2027,17.8739,0,0,0
2020/2/15,-11.2027,17.8739,0,0,0
2020/2/16,-11.2027,17.8739,0,0,0
2020/2/17,-11.2027,17.8739,0,0,0
2020/2/18,-11.2027,17.8739,0,0,0
2020/2/19,-11.2027,17.8739,0,0,0
2020/2/20,-11.2027,17.8739,0,0,0
2020/2/21,-11.2027,17.8739,0,0,0
2020/2/22,-11.2027,17.8739,0,0,0
2020/2/23,-11.2027,17.8739,0,0,0
2020/2/24,-11.2027,17.8739,0,0,0
2020/2/25,-11.2027,17.8739,0,0,0
2020/2/26,-11.2027,17.8739,0,0,0
2020/2/27,-11.2027,17.8739,0,0,0
2020/2/28,-11.2027,17.8739,0,0,0
2020/2/29,-11.2027,17.8739,0,0,0
2020/3/1,-11.2027,17.8739,0,0,0
2020/3/2,-11.2027,17.8739,0,0,0
2020/3/3,-11.2027,17.8739,0,0,0
2020/3/4,-11.2027,17.8739,0,0,0
2020/3/5,-11.2027,17.8739,0,0,0
2020/3/6,-11.2027,17.8739,0,0,0
2020/3/7,-11.2027,17.8739,0,0,0
2020/3/8,-11.2027,17.8739,0,0,0
2020/3/9,-11.2027,17.8739,0,0,0
2020/3/10,-11.2027,17.8739,0,0,0
2020/3/11,-11.2027,17.8739,0,0,0
2020/3/12,-11.2027,17.8739,0,0,0
2020/3/13,-11.2027,17.8739,0,0,0
2020/3/14,-11.2027,17.8739,0,0,0
2020/3/15,-11.2027,17.8739,0,0,0
2020/3/16,-11.2027,17.8739,0,0,0
2020/3/17,-11.2027,17.8739,0,0,0
2020/3/18,-11.2027,17.8739,0,0,0
2020/3/19,-11.2027,17.8739,0,0,0
2020/3/20,-11.2027,17.8739,1,0,0
2020/3/21,-11.2027,17.8739,2,0,0
2020/3/22,-11.2027,17.8739,2,0,0
2020/3/23,-11.2027,17.8739,3,0,0
2020/3/24,-11.2027,17.8739,3,0,0
2020/3/25,-11.2027,17.8739,3,0,0
2020/3/26,-11.2027,17.8739,4,0,0
2020/3/27,-11.2027,17.8739,4,0,0
2020/3/28,-11.2027,17.8739,5,0,0
2020/3/29,-11.2027,17.8739,7,0,2
2020/3/30,-11.2027,17.8739,7,0,2
2020/3/31,-11.2027,17.8739,7,1,2
2020/4/1,-11.2027,17.8739,8,1,2
2020/4/2,-11.2027,17.8739,8,1,2
2020/4/3,-11.2027,17.8739,8,1,2
2020/4/4,-11.2027,17.8739,10,2,2
2020/4/5,-11.2027,17.8739,14,2,2
2020/4/6,-11.2027,17.8739,16,2,2
2020/4/7,-11.2027,17.8739,17,2,2
2020/4/8,-11.2027,17.8739,19,2,2
2020/4/9,-11.2027,17.8739,19,2,2
2020/4/10,-11.2027,17.8739,19,2,2
2020/4/11,-11.2027,17.8739,19,4,2
2020/4/12,-11.2027,17.8739,19,4,2
