date,confirmed,,dead,latitude,longitude
2020/1/24,2,0,0,30.01519966,122.1019974
2020/1/24,20,0,0,28.67250061,121.4479981
2020/1/24,10,0,0,31.86450005,117.2770004
2020/1/24,1,0,0,31.33499908,118.362999
2020/1/24,1,0,0,32.94129944,117.362999
2020/1/24,4,0,0,31.72529984,118.4830017
2020/1/24,3,0,0,30.92350006,117.814003
2020/1/24,4,0,0,30.51230049,117.0350037
2020/1/24,2,0,0,32.31710052,118.3050003
2020/1/24,7,0,0,32.90319824,115.8099976
2020/1/24,2,0,0,31.75469971,116.4950028
2020/1/24,4,0,0,33.87939835,115.7710037
2020/1/24,1,0,0,30.660019,117.494477
2020/1/24,5,0,0,26.03650093,119.3180008
2020/1/24,3,0,0,24.45030022,118.086998
2020/1/24,1,0,0,24.90950012,118.5899963
2020/1/24,1,0,0,26.66110039,119.5179977
2020/1/24,3,0,0,28.67490005,115.8980026
2020/1/24,1,0,0,29.29070091,117.2109985
2020/1/24,1,0,0,27.63139915,113.8389969
2020/1/24,2,0,0,29.72240067,115.9860001
2020/1/24,1,0,0,27.80410004,114.9319992
2020/1/24,2,0,0,25.84690094,114.9329987
2020/1/24,1,0,0,27.10320091,114.9720001
2020/1/24,1,0,0,27.7942009,114.3759994
2020/1/24,4,0,0,27.954545,116.360919
2020/1/24,2,0,0,28.45070076,117.9649963
2020/1/24,2,0,0,36.65029907,117.0019989
2020/1/24,4,0,0,36.0788002,120.3470001
2020/1/24,2,0,0,37.53419876,121.3799973
2020/1/24,1,0,0,36.70289993,119.1070023
2020/1/24,2,0,0,35.41059875,116.5780029
2020/1/24,3,0,0,37.50109863,122.1090012
2020/1/24,2,0,0,35.3932991,119.5469971
2020/1/24,3,0,0,35.07170105,118.3420029
2020/1/24,1,0,0,37.45190048,116.288002
2020/1/24,1,0,0,36.44789886,115.9889984
2020/1/24,6,0,0,34.7582016,113.6419983
2020/1/24,2,0,0,34.76900101,112.9670029
2020/1/24,1,0,0,34.66550064,112.3830032
2020/1/24,1,0,0,33.74769974,113.3010025
2020/1/24,1,0,0,35.31010056,113.8690033
2020/1/24,1,0,0,34.7818985,111.1949997
2020/1/24,8,0,0,33.00180054,112.5360031
2020/1/24,5,0,0,32.13119888,114.0699997
2020/1/24,1,0,0,32.18360138,115.6719971
2020/1/24,4,0,0,33.62960052,114.6360016
2020/1/24,2,0,0,32.97629929,114.0350037
2020/1/24,572,0,38,30.58510017,114.2750015
2020/1/24,5,0,0,32.65679932,110.7850037
2020/1/24,1,0,1,30.70429993,111.288002
2020/1/24,1,0,0,30.40279961,114.8799973
2020/1/24,21,0,0,31.02879906,112.1989975
2020/1/24,26,0,0,30.92630005,113.9110031
2020/1/24,10,0,0,30.332591,112.241866
2020/1/24,64,0,0,30.446109,114.906618
2020/1/24,5,0,0,31.71520042,113.3700028
2020/1/24,11,0,0,30.308978,109.517433
2020/1/24,10,0,0,30.37179947,113.4530029
2020/1/24,3,0,0,30.65629959,113.1650009
2020/1/24,8,0,0,28.19820023,112.9789963
